                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0657,                  2.823,                  1.972,                0.17251,                0.20064,                 0.1164,                0.03894,                 2.3876,                  2.818,                  2.386,             0.00055352,             0.00055352,             0.00055352
                      2,                 2.0962,                 2.5582,                 2.0529,                0.28655,                0.19053,                0.15481,                0.05371,                 2.1994,                 2.7182,                 2.1572,              0.0010909,              0.0010909,              0.0010909
                      3,                 2.0821,                 2.4917,                 2.0288,                0.31466,                0.26966,                0.20042,                0.07012,                 2.1429,                 2.3583,                 2.1215,              0.0016099,              0.0016099,              0.0016099
                      4,                 2.0372,                 2.3883,                 1.9631,                0.33106,                0.31216,                0.24732,                0.09597,                 2.0989,                 2.2643,                  2.085,              0.0015845,              0.0015845,              0.0015845
                      5,                 1.9903,                 2.3217,                 1.9411,                0.75839,                0.19444,                0.27537,                 0.1086,                 2.0227,                 2.2981,                 2.0201,              0.0015845,              0.0015845,              0.0015845
                      6,                 1.9502,                 2.2143,                 1.9059,                0.38734,                0.30522,                0.28833,                0.11039,                 2.0494,                 2.1537,                 2.0194,               0.001557,               0.001557,               0.001557
                      7,                 1.9225,                 2.1344,                 1.8738,                0.38634,                0.34415,                0.32103,                0.13172,                 1.9858,                 2.0013,                 1.9561,              0.0015295,              0.0015295,              0.0015295
                      8,                  1.908,                 2.0783,                 1.8658,                0.41631,                0.36993,                0.34566,                0.13842,                 1.9666,                 2.0469,                  1.981,               0.001502,               0.001502,               0.001502
                      9,                 1.8695,                 2.0548,                 1.8451,                0.45989,                0.38657,                0.37717,                0.16014,                 1.9149,                 1.8848,                 1.9012,              0.0014745,              0.0014745,              0.0014745
                     10,                 1.8577,                 1.9931,                 1.8223,                0.43734,                0.37297,                0.35359,                0.15372,                 1.9234,                 1.8581,                 1.9133,               0.001447,               0.001447,               0.001447
