                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8237,                 2.2852,                 1.8024,                0.55276,                0.45293,                0.46707,                 0.2195,                 1.7782,                 1.8172,                 1.7847,              0.0033264,              0.0033264,              0.0033264
                      2,                 1.7566,                 1.7594,                  1.708,                0.52657,                0.41537,                0.43159,                0.19245,                 1.9132,                 1.9674,                 1.8651,              0.0065938,              0.0065938,              0.0065938
                      3,                 1.8522,                 1.8866,                 1.7725,                0.42926,                0.33333,                0.31443,                0.12756,                 2.0145,                 2.5475,                 2.0788,              0.0097952,              0.0097952,              0.0097952
                      4,                 1.9356,                 2.0555,                 1.8596,                0.47801,                0.43596,                0.38775,                0.16202,                 1.9299,                 2.7306,                 1.9065,               0.009703,               0.009703,               0.009703
                      5,                 1.8954,                 1.9678,                 1.8287,                0.54877,                0.47108,                0.45396,                0.19387,                 1.8495,                 2.2598,                 1.8639,               0.009703,               0.009703,               0.009703
                      6,                 1.8585,                 1.8794,                 1.8233,                0.60231,                0.47762,                 0.5198,                 0.2369,                 1.8421,                 1.8634,                 1.8532,               0.009604,               0.009604,               0.009604
                      7,                 1.8035,                 1.7913,                 1.7724,                0.60261,                0.52186,                0.55298,                0.26377,                 1.7983,                 1.6612,                 1.7864,               0.009505,               0.009505,               0.009505
                      8,                 1.7755,                 1.7379,                 1.7516,                0.58529,                0.51726,                0.54658,                0.26248,                 1.7886,                 1.7438,                 1.8292,               0.009406,               0.009406,               0.009406
                      9,                 1.7598,                 1.6873,                 1.7313,                0.61873,                0.52715,                0.55455,                0.27042,                 1.7744,                 1.7113,                 1.7759,               0.009307,               0.009307,               0.009307
                     10,                 1.7233,                 1.6618,                 1.7182,                0.66324,                0.58025,                0.61673,                0.30638,                 1.7148,                  1.547,                 1.7707,               0.009208,               0.009208,               0.009208
